parser,expr_len,time
ast,1,4.680
ast,2,5.536
ast,3,6.129
ast,4,7.750
ast,5,8.607
ast,6,10.145
ast,7,10.907
ast,8,12.143
ast,9,13.214
ast,10,13.957
ast,11,14.953
ast,12,15.957
ast,13,16.897
ast,14,17.600
ast,15,18.309
ast,16,19.533
ast,17,20.944
ast,18,22.540
ast,19,23.874
ast,20,25.042
libjit,1,1.953
libjit,2,1.977
libjit,3,2.039
libjit,4,2.092
libjit,5,2.150
libjit,6,2.191
libjit,7,2.258
libjit,8,2.360
libjit,9,2.428
libjit,10,2.496
libjit,11,2.502
libjit,12,2.581
libjit,13,2.643
libjit,14,2.718
libjit,15,2.785
libjit,16,2.834
libjit,17,2.904
libjit,18,2.934
libjit,19,2.988
libjit,20,3.053
